file,class,method,variable,usage
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\LibraryReport.java,com.LibraryReport,generateBorrowingReport/0,library,1
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\LibraryReport.java,com.LibraryReport,LibraryReport/1[com.Library],library,3
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\LibraryReport.java,com.LibraryReport,generateBookInventoryReport/0,library,1
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Book.java,com.Book,getTitle/0,title,1
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Book.java,com.Book,"Book/3[java.lang.String,java.lang.String,java.lang.String]",author,3
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Book.java,com.Book,"Book/3[java.lang.String,java.lang.String,java.lang.String]",available,1
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Book.java,com.Book,"Book/3[java.lang.String,java.lang.String,java.lang.String]",id,3
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Book.java,com.Book,"Book/3[java.lang.String,java.lang.String,java.lang.String]",title,3
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Book.java,com.Book,getAuthor/0,author,1
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Book.java,com.Book,setAvailable/1[boolean],available,3
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Book.java,com.Book,isAvailable/0,available,1
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Book.java,com.Book,getId/0,id,1
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Library.java,com.Library,addBook/1[com.Book],books,1
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Library.java,com.Library,"returnBook/2[java.lang.String,java.lang.String]",members,1
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Library.java,com.Library,findBookById/1[java.lang.String],books,1
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Library.java,com.Library,registerMember/1[com.Member],members,1
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Library.java,com.Library,getAllBooks/0,books,1
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Library.java,com.Library,"borrowBook/2[java.lang.String,java.lang.String]",members,1
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Library.java,com.Library,Library/0,books,1
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Library.java,com.Library,Library/0,members,1
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Library.java,com.Library,getAllMembers/0,members,1
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Member.java,com.Member,getId/0,id,1
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Member.java,com.Member,getEmail/0,email,1
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Member.java,com.Member,getBorrowedBooks/0,borrowedBooks,1
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Member.java,com.Member,borrowBook/1[com.Book],borrowedBooks,1
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Member.java,com.Member,getName/0,name,1
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Member.java,com.Member,returnBook/1[com.Book],borrowedBooks,1
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Member.java,com.Member,"Member/3[java.lang.String,java.lang.String,java.lang.String]",borrowedBooks,1
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Member.java,com.Member,"Member/3[java.lang.String,java.lang.String,java.lang.String]",name,3
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Member.java,com.Member,"Member/3[java.lang.String,java.lang.String,java.lang.String]",id,3
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Member.java,com.Member,"Member/3[java.lang.String,java.lang.String,java.lang.String]",email,3
